epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,4417.34,0.48552,0.31208,0.93457,0.99052,0.97895,0.99105,0.83019,0.67135,0.32697,1.10061,0.000206458,0.000206458,0.000206458
179,4440.81,0.47549,0.3099,0.92942,0.99078,0.97368,0.98735,0.83419,0.68555,0.32624,1.09992,0.000198206,0.000198206,0.000198206
180,4464.98,0.47101,0.30745,0.92168,0.98898,0.96842,0.97453,0.82089,0.68357,0.31479,1.09869,0.000189955,0.000189955,0.000189955
181,4490.78,0.45734,0.29448,0.92659,0.97893,0.97001,0.98174,0.83006,0.6844,0.30902,1.1014,0.000181703,0.000181703,0.000181703
182,4514.64,0.46532,0.30311,0.92997,0.98901,0.98421,0.99023,0.84142,0.68216,0.31174,1.09616,0.000173451,0.000173451,0.000173451
183,4538.48,0.47779,0.30883,0.93559,0.98208,0.98421,0.98987,0.8347,0.69713,0.30749,1.1192,0.0001652,0.0001652,0.0001652
184,4565.56,0.47384,0.31384,0.93836,0.98559,0.97173,0.98591,0.8228,0.69607,0.3124,1.11274,0.000156948,0.000156948,0.000156948
185,4592.09,0.44517,0.29911,0.9267,0.99204,0.97277,0.98727,0.83205,0.68386,0.3124,1.091,0.000148696,0.000148696,0.000148696
186,4615.86,0.46501,0.29996,0.93571,0.9887,0.97895,0.98448,0.82961,0.68561,0.30775,1.09694,0.000140445,0.000140445,0.000140445
187,4639.68,0.46932,0.30278,0.93031,0.9842,0.98377,0.9875,0.83994,0.6815,0.29667,1.0856,0.000132193,0.000132193,0.000132193
188,4665.4,0.45183,0.29788,0.9237,0.99062,0.97368,0.97782,0.83806,0.67153,0.30169,1.08753,0.000123941,0.000123941,0.000123941
189,4689.37,0.46685,0.3117,0.92728,0.99545,0.97368,0.9789,0.82973,0.67796,0.30378,1.09047,0.00011569,0.00011569,0.00011569
190,4713.14,0.45956,0.30395,0.92824,0.99726,0.97368,0.97822,0.82756,0.68069,0.30158,1.09486,0.000107438,0.000107438,0.000107438
191,4740.45,0.40607,0.25467,0.90214,0.98624,0.96842,0.98116,0.82224,0.71309,0.3024,1.1263,9.91865e-05,9.91865e-05,9.91865e-05
192,4766.45,0.39879,0.23844,0.90315,0.99498,0.97368,0.98089,0.81523,0.69629,0.30301,1.108,9.09349e-05,9.09349e-05,9.09349e-05
193,4789.61,0.40604,0.24588,0.9008,0.99519,0.96842,0.98066,0.81983,0.69456,0.30202,1.11223,8.26832e-05,8.26832e-05,8.26832e-05
194,4812.26,0.39424,0.2381,0.89933,0.99118,0.96842,0.97814,0.81291,0.70303,0.30233,1.11948,7.44316e-05,7.44316e-05,7.44316e-05
195,4836.61,0.36071,0.219,0.87453,0.99733,0.96842,0.97683,0.82177,0.70321,0.30311,1.12476,6.61799e-05,6.61799e-05,6.61799e-05
196,4861.46,0.38073,0.2299,0.88946,0.98364,0.97162,0.97399,0.81585,0.70482,0.31083,1.12883,5.79283e-05,5.79283e-05,5.79283e-05
197,4884.45,0.36936,0.22515,0.87848,0.98477,0.96787,0.97844,0.81966,0.70828,0.30435,1.13122,4.96766e-05,4.96766e-05,4.96766e-05
198,4907.77,0.3727,0.22726,0.8868,0.98413,0.96502,0.97767,0.82537,0.71078,0.30523,1.13815,4.1425e-05,4.1425e-05,4.1425e-05
199,4933.46,0.36048,0.22601,0.88168,0.98878,0.97254,0.97798,0.82175,0.70067,0.3045,1.1186,3.31733e-05,3.31733e-05,3.31733e-05
200,4957.97,0.35972,0.21778,0.87212,0.98931,0.97332,0.97869,0.8183,0.70044,0.30167,1.12272,2.49217e-05,2.49217e-05,2.49217e-05
