epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1046.61,1.03752,0.81491,1.25274,0.98837,0.93899,0.97682,0.75801,0.8954,0.55151,1.20839,0.00132868,0.00132868,0.00132868
43,1070.52,1.03373,0.81176,1.24024,0.95877,0.94211,0.9772,0.75333,0.87284,0.53315,1.19605,0.00132043,0.00132043,0.00132043
44,1095.62,1.01512,0.77801,1.22853,0.99126,0.94032,0.98325,0.78819,0.82762,0.52135,1.16027,0.00131218,0.00131218,0.00131218
45,1121.37,1.01191,0.79489,1.22709,0.94272,0.94737,0.97756,0.74325,0.88139,0.53704,1.19169,0.00130393,0.00130393,0.00130393
46,1145.53,0.9739,0.7761,1.20522,0.94984,0.94502,0.97646,0.76907,0.86035,0.51753,1.17747,0.00129568,0.00129568,0.00129568
47,1168.67,0.97332,0.76401,1.19754,0.96098,0.94737,0.98531,0.77947,0.81018,0.48776,1.14992,0.00128742,0.00128742,0.00128742
48,1192.41,0.93411,0.7122,1.1955,0.96106,0.9418,0.97666,0.79646,0.77056,0.47347,1.14067,0.00127917,0.00127917,0.00127917
49,1219.06,0.94461,0.71072,1.1818,0.98523,0.95263,0.98474,0.77625,0.76753,0.46775,1.12226,0.00127092,0.00127092,0.00127092
50,1242.15,0.94523,0.72561,1.19538,0.9532,0.96842,0.97985,0.78244,0.80905,0.45926,1.1495,0.00126267,0.00126267,0.00126267
51,1267.12,0.93228,0.71887,1.17075,0.9808,0.95789,0.97943,0.76158,0.81407,0.46953,1.16944,0.00125442,0.00125442,0.00125442
52,1293.46,0.94113,0.70567,1.17488,0.97904,0.97053,0.97899,0.76617,0.82429,0.46886,1.17384,0.00124617,0.00124617,0.00124617
53,1318.13,0.95653,0.71496,1.19177,0.98002,0.97368,0.97938,0.75842,0.87711,0.4641,1.19347,0.00123791,0.00123791,0.00123791
54,1340.92,0.91758,0.7016,1.16445,0.94298,0.96316,0.96968,0.78051,0.80998,0.46534,1.14765,0.00122966,0.00122966,0.00122966
55,1364.45,0.91735,0.68991,1.16091,0.98293,0.96476,0.98531,0.77429,0.82594,0.4607,1.16283,0.00122141,0.00122141,0.00122141
56,1390.26,0.93201,0.69985,1.1697,0.99115,0.97895,0.98634,0.76044,0.82618,0.45042,1.15426,0.00121316,0.00121316,0.00121316
